28.10.16|Створено Дошку Оголошень|На Громадському сайті села Катюжанка створено Дошку Оголошень
05.11.16|Танцювальна студія "Л-Стиль" у Будинку культури  у цьому році працювати не буде.|Увага !  У зв'язку з тим, що не набралась достатня кількість дітей,танцювальна студія "Л-Стиль" у Будинку культури у цьому році працювати не буде.Хто бажає і надалі професійно займатись танцями - запрошуємоу м.Іванків в студію "Л-Стиль" 
15.11.16|Святкування Дня села Катюжанка !|19 листопада 2016 року о 13.00  в Будинку культури буде проведено святкування Дня села. Відбудеться святковий концерт.  
23.11.16|Зніму квартиру|Родина (4 осіб), зніме 2-кімнатну квартиру або будинок, бажано із "зручностми" у домі, принаймі із водою. Розглянемо варіанти. Оплату та порядок гарантуємо. Телефон: 0509530047 Олена 
01.12.16|Альтернативна початкова школа в с. Нові Петрівці KidsBerry|На 2016-2017 навчальний рік в с. Нові Петрівці Вишгородського району Київської обл. відкриваємо альтернативну домашню початкову школу для дітей, що навчаються екстерном. Приймаємо діток, віком від 5 до 10 років на п'ятиденну форму навчання. Мова - українська. Кількість дітей в групі - 9 чол. Про нас:-	Різновікова група (5 - 10 років)-	Індивідуальний план навчання-	Проектна робота-	Навчання від запитання-	Інтегровані факультативи за інтересами-	Елементи теорії розв'язання винахідницікий задач-	Екстернат-	Повний день-	Відсутність домашніх завдань та оцінювання-	Організаційне супроводження атестації за програмою ліцензованої в МОН приватної школи "Афіни". https://www.facebook.com/pg/kidsberryschool/about/?ref=page_internalhttp://kidsberry.kiev.ua/ 
26.01.17|ЗАПУЩЕН В РАБОТУ БАНКОМАТ ПРИВАТБАНКА В КАТЮЖАНКЕ|В КАТЮЖАНКЕ - УЛ. ШЕВЧЕНКО 1 (НА ПРОХОДНОЙ ЛЕСХОЗА) НАЧАЛ РАБОТАТЬ БАНКОМАТ ПРИВАТБАНКА. БАНКОМАТ - "ВНЕШНИЙ", ОН РАБОТАЕТ КРУГЛОСУТОЧНО!УВАЖАЕМЫЕ КЛИЕНТЫ ПРИВАТА (И ДРУГИХ БАНКОВ УКРАИНЫ И МИРА!) - ПОЛЬЗУЙТЕСЬ БАНКОМАТОМ. ВСЕМ УДАЧИ!!! 
05.04.17|Дими над Могилками.|Шановні Односельчани !!! Є в Катюжанці Святе Місце , де спочивають вічним сном наші Батьки та близькі Родичі - це - наші Могилки. На жаль останнім часом наші Могилки перетворюются на смітник, так як люди залишають після себе всякий непотріб (пляшки, одноразовий посуд і т.д.). Майже кожен, хто приходить прибирати могилки своїх близьких чомусь обов'язково починає спалювати старе листя та старі пластикові вінки, пляшки,на місці, замість того , щоб винести це все за територію на відведені для цього місця за територією кладовища, або створює смітник поряд з могилками своїх близьких ( але не на могилках своїх близьких ...  !!!  ). Сморід, який створюється від спалювання забруднює довкілля та викликає алергії у жителів села Катюжанка, що живуть поблизу. Я пропоную місцевій владі села Катюжанка ЗАПРОВАДИТИ ШТРАФИ ЗА ЗАСМІЧЕННЯ Святого Місця села Катюжанка - Могилок,може тоді щось почне доходити у "світлі" голови Катюжанців ...  ! 
27.04.17|Печать на Лесном фото, визиток, наклеек. Доставка. Акции|Печать  на Лесном, Троещина, Дарница  (227-22-63) фото (10х15 - от 1,80 грн./1 шт), визиток (от 40 грн. за 100 шт., от 210 грн. за 1000 шт)), флаеров (от 305 грн. за 1000 шт), наклеек (штрих-код и ГМО). А также печать на Лесном (Левый берег) буклетов, хенгеров, дисконток, визиток, фото, флаеров и т.д. Ламинатор. Брошюровка. Порезка плотером. Сканирование. Тиражирование. Дизайн. Акции на макеты и дизайн при печати визиток и и флаеров!!!  Доставка. Киев. Тел.: (044) 227-22-63, (050) 355-35-37 ( с 10-00 до 20-00)  
03.07.17|Печать на Лесном от визиток до... Печать фото|Печать  на Лесном фото, визиток, флаеров , наклеек (штрих-код и ГМО). А также печать на Лесном (Левый берег) буклетов, хенгеров, дисконток, визиток, фото, флаеров и т.д. Ламинатор. Брошюровка. Порезка плотером. Сканирование. Тиражирование. Дизайн. Акции на макеты и дизайн при печати визиток и и флаеров!!!  Возможна доставка. Киев. Тел.: (044) 227-22-63, (050) 355-35-37 ( с 10-00 до 20-00)  
06.08.17|Печать на Лесном (Юность, Дарница, Троещина)... Печать фото|Печать  на Лесном (Юность, Дарница, Троещина). Своя производственная база. Печатаем фотографии, визитки, флаера, наклейки (штрих-код и ГМО, в том числе со сквозной и произвольной нумерацией), буклеты, листовки, плакаты, хенгеры, дисконки, папки и т.д. Тиражирование. Тиснение. Сборка на пружину. Ламинация. Дизайн.  Возможна доставка. Киев. Тел.: (044) 227-22-63, (050) 355-35-37 ( с 10-00 до 20-00) 
